0.55, 0.23
0.77, 0.67
0.78, 0.68
0.22, -0.40
0.55, 0.23
0.51, 0.16
0.05, -0.74
0.11, -0.62
0.71, 0.55
0.28, -0.28
0.95, 1.02
0.87, 0.87
0.51, 0.16
0.23, -0.38
0.11, -0.61
0.44, 0.03
0.57, 0.27
0.67, 0.47
0.44, 0.02
0.75, 0.64
0.73, 0.59
0.27, -0.31
0.06, -0.71
0.72, 0.57
0.82, 0.77
0.37, -0.11
0.33, -0.18
0.77, 0.67
0.51, 0.16
0.55, 0.23
0.07, -0.69
0.07, -0.69
0.51, 0.17
0.95, 1.02
0.61, 0.36
0.59, 0.31
0.40, -0.05
0.54, 0.21
0.49, 0.13
0.97, 1.05
0.81, 0.74
0.27, -0.30
0.29, -0.27
0.40, -0.06
0.06, -0.72
0.36, -0.13
0.74, 0.61
0.03, -0.77
0.28, -0.28
0.80, 0.73
0.66, 0.45
0.08, -0.67
0.20, -0.45
0.10, -0.64
0.30, -0.25
0.76, 0.66
0.56, 0.26
0.83, 0.79
0.56, 0.25
0.20, -0.45
0.59, 0.33
0.91, 0.93
0.07, -0.69
0.05, -0.74
0.41, -0.03
0.93, 0.98
0.22, -0.40
0.42, -0.01
0.06, -0.72
0.52, 0.17
0.20, -0.44
0.27, -0.31
0.71, 0.54
0.44, 0.02
0.70, 0.53
0.84, 0.80
0.60, 0.34
0.58, 0.29
0.19, -0.46
0.21, -0.43
0.30, -0.25
0.06, -0.71
0.97, 1.06
0.72, 0.57
0.76, 0.65
0.85, 0.82
0.27, -0.31
0.82, 0.77
0.20, -0.44
0.63, 0.39
0.91, 0.95
0.51, 0.15
0.91, 0.93
1.00, 1.11
0.40, -0.05
0.95, 1.01
0.95, 1.02
0.25, -0.34
0.47, 0.08
0.70, 0.54
0.23, -0.38
0.27, -0.31
0.19, -0.47
0.96, 1.04
0.67, 0.47
0.69, 0.51
0.95, 1.01
0.30, -0.26
0.41, -0.04
0.09, -0.66
0.67, 0.48
0.74, 0.61
0.01, -0.80
0.59, 0.32
0.44, 0.02
0.23, -0.38
0.87, 0.86
0.58, 0.29
0.38, -0.09
0.88, 0.87
0.19, -0.45
0.62, 0.38
0.35, -0.15
0.96, 1.04
0.40, -0.06
0.72, 0.58
0.31, -0.22
0.83, 0.78
0.82, 0.77
0.30, -0.25
0.26, -0.33
0.88, 0.89
0.83, 0.79
0.28, -0.28
0.43, 0.01
0.38, -0.10
0.13, -0.58
0.38, -0.09
0.29, -0.26
